Paper_ID,DOI,Journal,Year,Authors,Country,Crop,Scientific_Name,Variety,Season,Growth_Duration_Days,Design,Replications,Plot_Size,Spacing_Row,Spacing_Plant,Sample_Size,Location,State,Site,Latitude,Longitude,Altitude,Temperature_Max,Temperature_Min,Average_Temperature,Rainfall,Humidity,Soil_pH,EC,Organic_Carbon,Organic_Matter,Nitrogen,Phosphorus,Potassium,Sulphur,Iron,Copper,Manganese,Zinc,Calcium,Magnesium,Boron,Molybdenum,Treatment,Fertilizer_Name,Organic_Fertilizer,Biofertilizer,Dose,Application_Method,Application_Interval,Shoot_Length_cm,Root_Length_cm,Plant_Height_cm,Shoot_Biomass_g,Root_Biomass_g,Leaf_Area_cm2,Leaf_Number,Tillers,Root_Diameter_mm,SPAD,Moisture_Content,Dry_Matter,Stem_Diameter_mm,Branches,Nodes,Flowers,Plant_Height_30_cm,Plant_Height_60_cm,Plant_Height_90_cm,Leaf_Area_30_cm2,Leaf_Area_60_cm2,Leaf_Area_90_cm2,Yield_per_Plot,Yield_per_Acre,Yield_per_Hectare,Fruit_Number,Fruit_Weight,Fruit_Diameter_mm,Spike_Length,Seeds_per_Spike,100_Seed_Weight,Root_Weight,Pod_Weight,Harvest_Index,Biomass_Yield,Protein,Ash,Gluten,Fiber,Carbohydrates,Fat,Nitrogen_Content,Phosphorus_Content,Potassium_Content,Iron_Content,Copper_Content,Zinc_Content,Manganese_Content,Sulphur_Content,Target_Yield,Target_Fertilizer,Target_Nitrogen,Target_Phosphorus,Target_Potassium
Paper002,,,,,India,Bell pepper,,Namdhari,Sep2022-May2023,120 DAS,RCBD,3,8.0,,,,Haridwar,Uttarakhand,,29.9136,77.9975,,27.0,7.0,,16.5,,,,,,,,,,,,,,,,,,T0,Control,,,0,,,,,36.0,,,36.943,,,,,,,,6.067,,13.867,10.6,21.133,29.267,12.61,23.212,31.55,577.507,,,,46.607,2.745,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper002,,,,,India,Bell pepper,,Namdhari,Sep2022-May2023,120 DAS,RCBD,3,8.0,,,,Haridwar,Uttarakhand,,29.9136,77.9975,,27.0,7.0,,16.5,,,,,,,,,,,,,,,,,,T1,Jaivik Prom,,,100,,,,,43.933,,,52.94,,,,,,,,7.6,,13.467,14.8,24.533,37.2,19.241,35.863,39.317,803.513,,,,60.985,2.791,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper002,,,,,India,Bell pepper,,Namdhari,Sep2022-May2023,120 DAS,RCBD,3,8.0,,,,Haridwar,Uttarakhand,,29.9136,77.9975,,27.0,7.0,,16.5,,,,,,,,,,,,,,,,,,T2,Pori Potash,,,100,,,,,38.8,,,53.303,,,,,,,,7.533,,12.267,12.0,23.2,31.8,14.253,36.04,40.833,1047.64,,,,60.024,2.706,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper002,,,,,India,Bell pepper,,Namdhari,Sep2022-May2023,120 DAS,RCBD,3,8.0,,,,Haridwar,Uttarakhand,,29.9136,77.9975,,27.0,7.0,,16.5,,,,,,,,,,,,,,,,,,T3,Dharti ka Chaukidar,,,10,,,,,37.533,,,44.097,,,,,,,,7.267,,15.333,11.4,23.667,32.8,17.99,29.447,40.973,1187.18,,,,66.386,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper002,,,,,India,Bell pepper,,Namdhari,Sep2022-May2023,120 DAS,RCBD,3,8.0,,,,Haridwar,Uttarakhand,,29.9136,77.9975,,27.0,7.0,,16.5,,,,,,,,,,,,,,,,,,T4,Jaivik Poshak,,,7,,,,,45.733,,,38.579,,,,,,,,8.133,,18.583,13.733,24.067,38.8,17.125,32.58,38.633,1355.053,,,,62.691,2.676,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper002,,,,,India,Bell pepper,,Namdhari,Sep2022-May2023,120 DAS,RCBD,3,8.0,,,,Haridwar,Uttarakhand,,29.9136,77.9975,,27.0,7.0,,16.5,,,,,,,,,,,,,,,,,,T5,Jaivik Khad,,,80,,,,,42.533,,,49.247,,,,,,,,7.4,,12.533,13.267,25.2,36.067,19.567,40.98,48.93,1409.813,,,,69.237,2.791,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper002,,,,,India,Bell pepper,,Namdhari,Sep2022-May2023,120 DAS,RCBD,3,8.0,,,,Haridwar,Uttarakhand,,29.9136,77.9975,,27.0,7.0,,16.5,,,,,,,,,,,,,,,,,,T6,Jaivik Prom+Jaivik Khad,,,50+40,,,,,41.067,,,48.03,,,,,,,,7.283,,16.267,14.667,26.133,34.2,20.207,38.132,39.133,1385.107,,,,61.322,2.869,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper002,,,,,India,Bell pepper,,Namdhari,Sep2022-May2023,120 DAS,RCBD,3,8.0,,,,Haridwar,Uttarakhand,,29.9136,77.9975,,27.0,7.0,,16.5,,,,,,,,,,,,,,,,,,T7,Pori Potash+Jaivik Poshak,,,50+3.5,,,,,39.6,,,51.85,,,,,,,,7.2,,12.533,12.4,22.267,32.33,19.557,34.88,39.487,1164.253,,,,60.995,2.829,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T0,,,,,,,72.444,12.556,,6.274,1.071,41.38,,3.778,,45.889,,,,,,,,,,,,,2290.333,,,,,,7.433,40.889,4.03,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Black Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,77.444,13.333,,9.544,1.349,47.823,,4.0,,47.778,,,,,,,,,,,,,2759.0,,,,,,8.533,51.444,4.81,,,,,,,,,,,,,,,,,,,,,,,
